Year,State ANSI,County ANSI,State,County,Value
2012,01,001,ALABAMA,AUTAUGA,300
2012,01,047,ALABAMA,DALLAS,144
2012,01,051,ALABAMA,ELMORE, (D)
2012,01,063,ALABAMA,GREENE, (D)
2012,01,065,ALABAMA,HALE,74
2012,01,085,ALABAMA,LOWNDES,440
2012,01,087,ALABAMA,MACON, (D)
2012,01,091,ALABAMA,MARENGO,70
2012,01,101,ALABAMA,MONTGOMERY,44
2012,01,105,ALABAMA,PERRY,27
2012,01,119,ALABAMA,SUMTER,178
2012,01,003,ALABAMA,BALDWIN, (D)
2012,01,035,ALABAMA,CONECUH, (D)
2012,01,053,ALABAMA,ESCAMBIA,58
2012,01,097,ALABAMA,MOBILE,16
2012,01,099,ALABAMA,MONROE,102
2012,01,129,ALABAMA,WASHINGTON,260
2012,01,131,ALABAMA,WILCOX,34
2012,01,009,ALABAMA,BLOUNT,220
2012,01,019,ALABAMA,CHEROKEE,110
2012,01,043,ALABAMA,CULLMAN,720
2012,01,049,ALABAMA,DE KALB,816
2012,01,055,ALABAMA,ETOWAH,578
2012,01,071,ALABAMA,JACKSON,122
2012,01,095,ALABAMA,MARSHALL,101
2012,01,033,ALABAMA,COLBERT,310
2012,01,059,ALABAMA,FRANKLIN,303
2012,01,077,ALABAMA,LAUDERDALE,27
2012,01,079,ALABAMA,LAWRENCE,347
2012,01,083,ALABAMA,LIMESTONE,96
2012,01,089,ALABAMA,MADISON,315
2012,01,093,ALABAMA,MARION,30
2012,01,103,ALABAMA,MORGAN,337
2012,01,133,ALABAMA,WINSTON, (D)
2012,01,017,ALABAMA,CHAMBERS,190
2012,01,021,ALABAMA,CHILTON, (D)
2012,01,027,ALABAMA,CLAY, (D)
2012,01,057,ALABAMA,FAYETTE, (D)
2012,01,073,ALABAMA,JEFFERSON,288
2012,01,075,ALABAMA,LAMAR,49
2012,01,081,ALABAMA,LEE, (D)
2012,01,107,ALABAMA,PICKENS, (D)
2012,01,111,ALABAMA,RANDOLPH,67
2012,01,125,ALABAMA,TUSCALOOSA,14
2012,01,127,ALABAMA,WALKER, (D)
2012,01,005,ALABAMA,BARBOUR, (D)
2012,01,039,ALABAMA,COVINGTON, (D)
2012,01,041,ALABAMA,CRENSHAW, (D)
2012,01,045,ALABAMA,DALE, (D)
2012,01,061,ALABAMA,GENEVA,49
2012,01,067,ALABAMA,HENRY, (D)
2012,01,069,ALABAMA,HOUSTON,45
2012,01,109,ALABAMA,PIKE, (D)
2012,01,113,ALABAMA,RUSSELL, (D)
2012,02,,ALASKA,ANCHORAGE, (D)
2012,02,,ALASKA,FAIRBANKS NORTH STAR, (D)
2012,04,001,ARIZONA,APACHE,"5,414"
2012,04,005,ARIZONA,COCONINO, (D)
2012,04,007,ARIZONA,GILA,"1,104"
2012,04,015,ARIZONA,MOHAVE,"76,754"
2012,04,017,ARIZONA,NAVAJO, (D)
2012,04,025,ARIZONA,YAVAPAI,"3,871"
2012,04,003,ARIZONA,COCHISE,"93,963"
2012,04,009,ARIZONA,GRAHAM,"9,903"
2012,04,011,ARIZONA,GREENLEE,"4,375"
2012,04,012,ARIZONA,LAPAZ,"508,893"
2012,04,013,ARIZONA,MARICOPA,"546,971"
2012,04,019,ARIZONA,PIMA,"36,256"
2012,04,021,ARIZONA,PINAL,"447,015"
2012,04,023,ARIZONA,SANTA CRUZ, (D)
2012,04,027,ARIZONA,YUMA,"277,148"
2012,05,029,ARKANSAS,CONWAY,231
2012,05,045,ARKANSAS,FAULKNER, (D)
2012,05,051,ARKANSAS,GARLAND, (D)
2012,05,053,ARKANSAS,GRANT,185
2012,05,105,ARKANSAS,PERRY, (D)
2012,05,119,ARKANSAS,PULASKI,438
2012,05,125,ARKANSAS,SALINE, (D)
2012,05,023,ARKANSAS,CLEBURNE, (D)
2012,05,089,ARKANSAS,MARION,37
2012,05,135,ARKANSAS,SHARP, (D)
2012,05,141,ARKANSAS,VAN BUREN,9
2012,05,021,ARKANSAS,CLAY, (D)
